fold,epoch,loss,mae,val_loss,val_mae,mae_phq9,val_mae_phq9
1,1,0.09192021191120148,0.23313014209270477,0.01786835491657257,0.11121518909931183,6.294513836503029,3.0028101056814194
1,2,0.030473988503217697,0.13821011781692505,0.05323173850774765,0.1965700089931488,3.7316731810569763,5.307390242815018
1,3,0.02620040997862816,0.12407302856445312,0.013963798061013222,0.08959712833166122,3.3499717712402344,2.419122464954853
1,4,0.011865626089274883,0.08971135318279266,0.014753761701285839,0.09840176999568939,2.422206535935402,2.6568477898836136
1,5,0.013522593304514885,0.09656518697738647,0.008465872146189213,0.06656374037265778,2.607260048389435,1.79722099006176
1,6,0.007004184182733297,0.06557407230138779,0.011955514550209045,0.08765178918838501,1.7704999521374702,2.3665983080863953
1,7,0.0072906045243144035,0.0672651156783104,0.011545462533831596,0.08734886348247528,1.8161581233143806,2.3584193140268326
1,8,0.006243160460144281,0.06126254051923752,0.00702337920665741,0.06276066601276398,1.654088594019413,1.6945379823446274
1,9,0.005001909099519253,0.057748645544052124,0.007330152206122875,0.0675787553191185,1.5592134296894073,1.8246263936161995
1,10,0.004901996813714504,0.05611882358789444,0.0067798784002661705,0.06122124195098877,1.5152082368731499,1.6529735326766968
1,11,0.004273888189345598,0.05159208923578262,0.007990648970007896,0.07035097479820251,1.3929864093661308,1.899476319551468
1,12,0.004305470734834671,0.0507553294301033,0.006238895934075117,0.0591714009642601,1.3703938946127892,1.5976278260350227
1,13,0.003888179315254092,0.05054513365030289,0.006294080056250095,0.061652302742004395,1.364718608558178,1.6646121740341187
1,14,0.0038468227721750736,0.049684230238199234,0.006122241728007793,0.05920815467834473,1.3414742164313793,1.5986201763153076
1,15,0.0036779523361474276,0.04831402376294136,0.006516941823065281,0.06281740963459015,1.3044786415994167,1.696070060133934
1,16,0.0036201097536832094,0.047789257019758224,0.005885594990104437,0.05861777067184448,1.290309939533472,1.582679808139801
1,17,0.0034722727723419666,0.04759914055466652,0.005874906666576862,0.059417612850666046,1.285176794975996,1.6042755469679832
1,18,0.0034308999311178923,0.047230206429958344,0.005745830480009317,0.05853961780667305,1.2752155736088753,1.5805696807801723
1,19,0.003333520144224167,0.04645374417304993,0.005770881660282612,0.059252917766571045,1.254251092672348,1.5998287796974182
1,20,0.0033032179344445467,0.046434007585048676,0.005491394549608231,0.05759916454553604,1.2537182047963142,1.5551774427294731
1,21,0.0032143841963261366,0.045932620763778687,0.005497948732227087,0.057957302778959274,1.2401807606220245,1.5648471750319004
1,22,0.0031936788000166416,0.0458059087395668,0.0054480815306305885,0.05776055529713631,1.2367595359683037,1.5595349930226803
1,23,0.0031242871191352606,0.045346278697252274,0.00536792166531086,0.05741645023226738,1.2243495248258114,1.5502441562712193
1,24,0.0030930940993130207,0.04521895572543144,0.005302898585796356,0.057114362716674805,1.220911804586649,1.5420877933502197
1,25,0.0030461575370281935,0.04488588497042656,0.005270923022180796,0.056977830827236176,1.211918894201517,1.5384014323353767
1,26,0.003013789188116789,0.04467278718948364,0.005247843451797962,0.05693094804883003,1.2061652541160583,1.5371355973184109
1,27,0.0029797025490552187,0.044445596635341644,0.00518246553838253,0.05655980110168457,1.2000311091542244,1.5271146297454834
1,28,0.002943342551589012,0.04418696463108063,0.005172853358089924,0.05661997199058533,1.193048045039177,1.5287392437458038
1,29,0.002918838057667017,0.043991126120090485,0.0051477523520588875,0.05654359981417656,1.187760405242443,1.526677194982767
1,30,0.002886776579543948,0.04374948516488075,0.005116683896631002,0.05643165856599808,1.1812360994517803,1.523654781281948
2,1,0.13044346868991852,0.2827405333518982,0.03175879269838333,0.15377947688102722,7.633994400501251,4.152045875787735
2,2,0.031013917177915573,0.14387208223342896,0.06115962192416191,0.2072865068912506,3.884546220302582,5.5967356860637665
2,3,0.036239851266145706,0.15203726291656494,0.014708250761032104,0.093636155128479,4.105006098747253,2.528176188468933
2,4,0.014477148652076721,0.09953590482473373,0.007184527814388275,0.06542102992534637,2.687469430267811,1.7663678079843521
2,5,0.013565274886786938,0.09419743716716766,0.009063797071576118,0.0793801099061966,2.543330803513527,2.143262967467308
2,6,0.010748331435024738,0.0815277099609375,0.004468413535505533,0.05147307366132736,2.2012481689453125,1.3897729888558388
2,7,0.006723466329276562,0.06682048738002777,0.006543491967022419,0.062486253678798676,1.8041531592607498,1.6871288493275642
2,8,0.0074552372097969055,0.06914466619491577,0.007461476139724255,0.06906415522098541,1.8669059872627258,1.8647321909666061
2,9,0.0057718041352927685,0.06038504093885422,0.004105452448129654,0.05003715679049492,1.6303961053490639,1.3510032333433628
2,10,0.005497499369084835,0.06131107732653618,0.003778316080570221,0.048513054847717285,1.6553990878164768,1.3098524808883667
2,11,0.004883843008428812,0.05685392767190933,0.003907640464603901,0.048519182950258255,1.535056047141552,1.3100179396569729
